Nodes,id,Label,log,lat
Ageb 119,119,Ageb 119,-110.9231,29.089
Ageb 120,120,Ageb 120,-111.0158,29.1155
Ageb 121,121,Ageb 121,-110.9607,29.0085
Ageb 122,122,Ageb 122,-111.0082,29.1438
Ageb 123,123,Ageb 123,-110.9668,29.1523
Ageb 124,124,Ageb 124,-110.9961,29.0354
Ageb 125,125,Ageb 125,-111.039,29.0779
Ageb 126,126,Ageb 126,-111.0545,29.1055
Ageb 127,127,Ageb 127,-110.99,29.112
Ageb 128,128,Ageb 128,-111.0258,29.1499
Ageb 129,129,Ageb 129,-111.004,29.1435
Ageb 130,130,Ageb 130,-110.9206,29.0031
Ageb 131,131,Ageb 131,-111.0077,29.0834
Ageb 132,132,Ageb 132,-110.9954,29.0279
Ageb 133,133,Ageb 133,-111.0041,29.0207
Ageb 134,134,Ageb 134,-111.0445,29.1228
Ageb 135,135,Ageb 135,-111.0105,29.1671
Ageb 136,136,Ageb 136,-110.9902,29.0567
Ageb 137,137,Ageb 137,-110.9916,29.0549
Ageb 138,138,Ageb 138,-111.0022,29.0533
Ageb 139,139,Ageb 139,-111.015,29.0636
Ageb 140,140,Ageb 140,-111.0173,29.0552
Ageb 141,141,Ageb 141,-111.0304,29.1357
Ageb 142,142,Ageb 142,-111.0263,29.1375
Ageb 143,143,Ageb 143,-110.9678,29.0248
Ageb 144,144,Ageb 144,-110.9108,28.991
Ageb 145,145,Ageb 145,-111.0023,29.0652
Ageb 146,146,Ageb 146,-110.957,29.1514
Ageb 147,147,Ageb 147,-111.0089,29.0289
Ageb 148,148,Ageb 148,-110.9982,29.0524
Ageb 149,149,Ageb 149,-111.0198,29.0596
Ageb 150,150,Ageb 150,-111.047,29.1166
Ageb 151,151,Ageb 151,-111.0515,29.1227
Ageb 152,152,Ageb 152,-110.9427,28.9918
Ageb 153,153,Ageb 153,-111.0134,29.065
Ageb 154,154,Ageb 154,-111.0384,29.0801
Ageb 155,155,Ageb 155,-111.0478,29.113
Ageb 156,156,Ageb 156,-110.9989,29.1593
Ageb 157,157,Ageb 157,-110.922,29.129
Ageb 158,158,Ageb 158,-111.0018,29.0669
Ageb 159,159,Ageb 159,-111.0091,29.048
Ageb 160,160,Ageb 160,-110.9,28.9957
Ageb 161,161,Ageb 161,-110.9673,29.1207
Ageb 162,162,Ageb 162,-111.0302,29.1108
Ageb 163,163,Ageb 163,-111.0153,29.1419
Ageb 164,164,Ageb 164,-110.9823,29.1548
Ageb 165,165,Ageb 165,-110.9713,29.1522
Ageb 166,166,Ageb 166,-110.9646,29.1486
Ageb 167,167,Ageb 167,-111.0007,29.0417
Ageb 168,168,Ageb 168,-110.9988,29.0383
Ageb 169,169,Ageb 169,-110.9938,29.0364
Ageb 170,170,Ageb 170,-110.9894,29.0311
