Nodes,id,Label,log,lat
Ageb 520,520,Ageb 520,-110.9503,29.1327
Ageb 521,521,Ageb 521,-111.0294,29.1532
Ageb 522,522,Ageb 522,-110.9673,29.0149
Ageb 523,523,Ageb 523,-110.9333,29.0032
Ageb 524,524,Ageb 524,-110.9218,29
Ageb 525,525,Ageb 525,-111.0205,29.1696
Ageb 526,526,Ageb 526,-110.9474,28.9985
Ageb 527,527,Ageb 527,-110.9004,29.0169
Ageb 528,528,Ageb 528,-111.0782,29.0797
Ageb 529,529,Ageb 529,-111.0276,29.0759
Ageb 530,530,Ageb 530,-110.9941,29.1532
Ageb 531,531,Ageb 531,-110.9929,29.0501
Ageb 532,532,Ageb 532,-111.024,29.0758
Ageb 533,533,Ageb 533,-110.9502,28.9965
Ageb 534,534,Ageb 534,-110.9705,29.0098
Ageb 535,535,Ageb 535,-110.9952,29.0898
Ageb 536,536,Ageb 536,-110.9219,28.9976
Ageb 537,537,Ageb 537,-111.0709,29.0777
Ageb 538,538,Ageb 538,-111.0205,29.1728
Ageb 539,539,Ageb 539,-110.9882,29.0494
Ageb 540,540,Ageb 540,-110.9382,29.0018
Ageb 541,541,Ageb 541,-110.9036,29.0241
Ageb 542,542,Ageb 542,-110.9618,28.9971
Ageb 543,543,Ageb 543,-110.9657,28.9975
Ageb 544,544,Ageb 544,-111.0518,29.0626
Ageb 545,545,Ageb 545,-110.9187,29.1302
Ageb 546,546,Ageb 546,-111.0043,29.0481
Ageb 547,547,Ageb 547,-111.0137,29.0893
Ageb 548,548,Ageb 548,-111.0164,29.0838
Ageb 549,549,Ageb 549,-110.9588,29.1347
Ageb 550,550,Ageb 550,-110.956,29.1424
Ageb 551,551,Ageb 551,-110.9284,29.0416
Ageb 552,552,Ageb 552,-110.979,29.0067
Ageb 553,553,Ageb 553,-110.9469,29.1409
Ageb 554,554,Ageb 554,-110.9466,29.139
Ageb 555,555,Ageb 555,-111.0638,29.1179
Ageb 556,556,Ageb 556,-111.0666,29.109
Ageb 557,557,Ageb 557,-110.9784,29.0271
Ageb 558,558,Ageb 558,-110.9811,29.0103
Ageb 559,559,Ageb 559,-110.9076,29.1166
Ageb 560,560,Ageb 560,-110.9193,29.12
Ageb 561,561,Ageb 561,-110.9247,29.1095
Ageb 562,562,Ageb 562,-111.0338,29.0751
Ageb 563,563,Ageb 563,-111.0009,29.0342
Ageb 564,564,Ageb 564,-111.0041,29.0359
Ageb 565,565,Ageb 565,-110.9235,29.1094
Ageb 566,566,Ageb 566,-110.9191,29.0938
Ageb 567,567,Ageb 567,-110.9064,29.1685
Ageb 568,568,Ageb 568,-110.8855,29.1819
Ageb 569,569,Ageb 569,-110.8936,29.1774
Ageb 570,570,Ageb 570,-110.9017,29.1706
Ageb 571,571,Ageb 571,-111.0078,29.07
Ageb 572,572,Ageb 572,-111.0369,29.1446
Ageb 573,573,Ageb 573,-110.9862,29.03
Ageb 574,574,Ageb 574,-110.9844,29.0244
Ageb 575,575,Ageb 575,-110.9739,29.0316
Ageb 576,576,Ageb 576,-110.9787,29.0298
Ageb 577,577,Ageb 577,-110.9705,29.1566
Ageb 578,578,Ageb 578,-110.9246,29.1111
Ageb 579,579,Ageb 579,-111.0592,29.122
Ageb 580,580,Ageb 580,-111.0162,29.0529
Ageb 581,581,Ageb 581,-110.9411,28.9938
Ageb 582,582,Ageb 582,-111.0338,29.1529
